cores      zlru       tadip      prism      drrip      pipp_min8  ucp        prismm     vantage52 
4-cores   0.998876  1.000390  1.000446  1.006362  1.008147  1.013659  1.015906  1.029201 
8-cores   1.004156  0.999160  0.993905  1.005678  0.993456  1.007709  1.013638  1.033215 
16-cores  1.004054  0.999161  0.998789  1.007409  0.978869  0.971028  1.015571  1.031109 
